"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Isaiah Spiller","LAC","RB80","59.2","232.7","1.1","7.9","58.9","0.2","0.2","44.3"
"David Wells","TB","TE52","0.0","3.4","0.0","21.6","152.9","1.0","0.1","43.6"
"Zamir White","LV","RB81","59.2","228.0","1.7","6.5","31.0","0.2","0.2","43.3"
"Michael Carter","NYJ","RB82","37.2","141.6","0.6","12.6","102.2","0.4","0.2","42.7"
"Jaleel McLaughlin","DEN","RB83","39.3","173.9","1.3","10.4","56.5","0.3","0.2","42.5"
"Raheem Blackshear","CAR","RB84","31.6","119.7","1.3","12.9","88.3","0.3","0.4","42.5"
"Chris Moore","TEN","WR126","0.2","2.4","0.0","17.5","195.5","0.9","0.0","42.4"
"Josiah Deguara","GB","TE53","0.0","1.0","0.0","18.8","174.4","1.0","0.0","42.2"
"Jordan Akins","CLE","TE54","0.0","0.9","0.0","15.6","191.1","1.2","0.1","41.9"
"Trenton Irwin","CIN","WR127","0.1","1.3","0.0","16.7","185.8","1.1","0.1","41.8"
"Charlie Jones","CIN","WR128","0.7","4.6","0.0","15.8","200.6","1.0","0.5","41.5"
"Pierre Strong Jr.","CLE","RB85","37.2","185.5","1.1","8.5","69.4","0.2","0.2","41.5"
"Cedric Tillman","CLE","WR129","0.4","5.5","0.0","14.4","216.1","0.8","0.1","41.4"
"Rakim Jarrett","TB","WR130","0.2","4.9","0.0","18.2","173.3","0.9","0.1","41.3"
"Rico Dowdle","DAL","RB86","54.0","203.6","1.3","6.8","49.3","0.2","0.2","41.1"
"Emari Demercado","ARI","RB87","35.4","166.5","1.1","10.6","59.7","0.2","0.2","41.0"
"Harrison Bryant","CLE","TE55","0.0","4.4","0.0","17.1","175.1","1.0","0.2","40.8"
"Kyle Philips","TEN","WR131","0.9","4.2","0.0","15.3","208.6","0.6","0.1","40.4"
"KhaDarel Hodge","ATL","WR132","0.0","3.0","0.0","15.6","182.6","1.0","0.1","40.1"
"Dontayvion Wicks","GB","WR133","0.3","4.0","0.0","17.3","174.8","0.8","0.1","40.0"
"Demario Douglas","NE","WR134","0.4","1.5","0.0","16.6","189.6","0.7","0.1","39.5"
"Calvin Austin III","PIT","WR135","0.3","3.4","0.0","14.8","194.1","0.7","0.1","38.7"
"Josh Oliver","MIN","TE56","0.0","0.4","0.0","15.7","159.6","1.2","0.0","38.6"
"Tommy Tremble","CAR","TE57","0.0","3.1","0.0","15.5","148.1","1.4","0.4","38.1"
"Ian Thomas","CAR","TE58","0.0","0.5","0.0","17.2","163.3","0.8","0.0","38.1"
"Colby Parkinson","SEA","TE59","0.0","0.3","0.0","15.0","175.0","0.9","0.0","38.0"
"Cade Johnson","SEA","WR136","0.0","1.7","0.0","14.6","168.0","1.1","0.0","38.0"
"Tucker Kraft","GB","TE60","0.0","0.9","0.0","15.2","168.8","1.1","0.3","37.8"
"Chris Rodriguez Jr.","WAS","RB88","35.4","155.0","0.9","10.0","60.9","0.2","0.2","37.7"
"Darnell Washington","PIT","TE61","0.0","1.7","0.0","15.1","178.4","0.8","0.3","37.2"
"Chris Evans","CIN","RB89","31.3","118.2","0.5","10.8","86.3","0.5","0.2","37.0"
"Samori Toure","GB","WR137","0.5","3.8","0.0","14.0","174.5","0.8","0.1","36.5"
"Melvin Gordon III","BAL","RB90","26.2","138.5","0.6","11.2","74.3","0.3","0.7","36.3"
"Ke'Shawn Vaughn","TB","RB91","45.7","184.4","1.2","6.4","38.3","0.2","0.6","35.8"
"Teagan Quitoriano","HOU","TE62","0.0","0.5","0.0","13.5","157.0","1.1","0.1","35.6"
"Amari Rodgers","IND","WR138","0.4","6.6","0.0","16.8","135.5","0.7","0.1","35.0"
"Mike Boone","HOU","RB92","16.9","107.0","0.5","14.0","57.9","0.2","0.0","34.6"
"Anthony McFarland Jr.","PIT","RB93","20.0","125.9","0.7","10.2","58.6","0.3","0.1","34.2"
"Daniel Bellinger","NYG","TE63","0.0","1.0","0.0","13.7","159.5","0.8","0.3","33.7"
"Jordan Mason","SF","RB94","50.1","223.3","0.9","2.8","26.1","0.1","0.1","33.6"
"DeeJay Dallas","SEA","RB95","15.9","99.2","0.5","11.2","76.0","0.3","0.1","33.5"
"Emanuel Wilson","GB","RB96","24.4","140.8","1.1","8.1","40.0","0.2","0.2","33.5"
"Jimmy Graham","NO","TE64","0.0","0.6","0.0","12.6","145.2","1.0","0.0","33.1"
"Davis Allen","LAR","TE65","0.0","2.1","0.0","19.0","104.9","0.6","0.3","32.8"
"Brevin Jordan","HOU","TE66","0.0","0.3","0.0","13.0","156.1","0.7","0.0","32.8"
"Owen Wright","BAL","RB97","0.0","145.0","1.1","6.5","41.2","0.2","0.2","32.4"
"Kyle Juszczyk","SF","RB98","8.4","28.0","0.4","13.1","105.2","0.6","0.0","32.4"
"Ronald Jones II","DAL","RB99","50.2","199.8","1.2","2.7","27.3","0.1","0.3","32.3"
"Tyler Badie","DEN","RB100","3.1","77.5","0.5","14.7","52.0","0.2","0.1","32.2"
"Justin Watson","KC","WR139","0.0","0.2","0.0","11.2","156.5","0.9","0.0","32.1"
"Corey Clement","ARI","RB101","14.1","101.7","0.6","11.4","52.2","0.2","0.0","31.4"
"Dare Ogunbowale","HOU","RB102","26.0","98.3","0.7","10.0","59.5","0.2","0.1","31.0"
"Zonovan Knight","DET","RB103","35.2","135.6","0.5","9.3","47.8","0.2","0.1","30.9"
"Justyn Ross","KC","WR140","0.4","2.5","0.0","9.7","163.4","0.8","0.1","30.8"
"Eric Gray","NYG","RB104","43.1","142.3","0.9","5.8","46.8","0.3","0.6","30.6"
"Blake Bell","KC","TE67","4.2","14.5","0.1","11.4","110.2","0.9","0.0","30.3"
"Salvon Ahmed","MIA","RB105","31.1","126.0","0.7","6.9","52.3","0.2","0.0","30.3"
"Travis Homer","CHI","RB106","16.8","104.4","0.4","8.2","68.4","0.2","0.1","29.1"
"Josh Whyle","TEN","TE68","0.0","1.8","0.0","11.8","123.2","0.8","0.0","29.1"
"Kevin Harris","NE","RB107","24.9","94.5","0.5","10.1","50.9","0.2","0.1","28.9"
"Derius Davis","LAC","WR141","0.4","6.0","0.0","12.9","123.6","0.5","0.1","28.8"
"DeAndre Carter","LV","WR142","0.4","6.8","0.0","11.3","134.6","0.6","0.2","28.7"
"Connor Heyward","PIT","TE69","0.0","12.6","0.0","10.5","118.6","0.8","0.1","28.5"
"Justice Hill","BAL","RB108","25.7","114.6","0.4","8.8","48.4","0.2","0.2","28.5"
"Byron Pringle","WAS","WR143","2.5","14.6","0.1","12.0","113.4","0.4","0.1","27.8"
"Geoff Swaim","ARI","TE70","0.0","0.0","0.0","13.2","101.2","0.8","0.0","27.8"
"Julius Chestnut","TEN","RB109","24.9","96.1","0.6","8.0","55.5","0.2","0.1","27.7"
"Brandon Powell","MIN","WR144","2.7","29.3","0.1","11.5","102.8","0.5","0.2","27.7"
"John Bates","WAS","TE71","0.0","0.4","0.0","11.8","118.4","0.6","0.0","27.5"
"Peyton Hendershot","DAL","TE72","0.0","4.4","0.0","9.3","116.9","1.0","0.0","27.4"
"Britain Covey","PHI","WR145","0.0","6.7","0.1","8.4","130.4","0.8","0.0","27.1"
"Hunter Long","LAR","TE73","0.0","0.6","0.0","10.3","125.5","0.7","0.1","27.0"
"Tre Nixon","NE","WR146","0.0","6.3","0.0","8.6","126.9","0.8","0.0","26.7"
"Ko Kieft","TB","TE74","0.0","0.7","0.0","10.3","117.8","0.8","0.1","26.6"
"Kenny McIntosh","SEA","RB110","29.3","121.3","0.8","5.6","37.9","0.1","0.1","26.5"
"Brandon Johnson","DEN","WR147","0.2","1.6","0.0","10.6","120.2","0.7","0.1","26.5"
"Devin Duvernay","BAL","WR148","4.1","38.4","0.2","7.0","119.1","0.4","0.1","26.4"
"Albert Okwuegbunam","PHI","TE75","0.0","0.3","0.0","9.6","124.7","0.8","0.1","26.4"
"Tre Tucker","LV","WR149","0.2","5.1","0.0","10.7","118.7","0.5","0.0","26.3"
"Lawrence Cager","NYG","WR150","0.2","1.2","0.0","11.6","102.4","0.7","0.0","26.2"
"Jalen Tolbert","DAL","WR151","0.5","3.0","0.0","8.5","140.7","0.6","0.1","26.2"
"River Cracraft","MIA","WR152","0.2","1.1","0.0","10.7","117.2","0.6","0.1","26.1"
"Brandon Bolden","LV","RB111","17.7","76.8","0.5","7.4","59.1","0.4","0.1","26.1"
"Charlie Kolar","BAL","TE76","0.0","0.9","0.0","9.9","116.0","0.7","0.0","25.9"
"Jason Brownlee","NYJ","WR153","0.2","2.6","0.0","10.7","114.6","0.6","0.1","25.8"
"Dee Eskridge","SEA","WR154","3.1","23.0","0.1","10.5","97.3","0.4","0.1","25.7"
"Tanner Hudson","CIN","TE77","0.0","0.7","0.0","11.8","109.1","0.5","0.0","25.6"
"Tre' McKitty","LAC","TE78","0.0","0.9","0.0","10.7","108.3","0.7","0.0","25.5"
"Boston Scott","PHI","RB112","27.6","126.5","1.0","3.6","27.2","0.1","0.2","25.5"
"David Bell","CLE","WR155","0.0","0.2","0.0","9.0","141.6","0.4","0.0","25.3"
"Ronnie Bell","SF","WR156","0.1","3.2","0.0","11.2","103.4","0.6","0.0","25.3"
"Brycen Hopkins","LAR","TE79","0.0","0.3","0.0","9.8","122.6","0.5","0.0","25.2"
"Equanimeous St. Brown","CHI","WR157","1.1","12.3","0.0","8.3","120.2","0.6","0.0","25.1"
"Parker Washington","JAC","WR158","0.3","1.5","0.0","10.5","118.1","0.4","0.1","25.0"
"Payne Durham","TB","TE80","0.0","2.7","0.0","10.7","108.7","0.6","0.3","24.9"
"Trevon Wesco","TEN","TE81","0.0","0.5","0.0","9.7","111.2","0.7","0.1","24.9"
"Tre'Quan Smith","NO","WR159","0.0","0.2","0.0","9.3","119.3","0.6","0.0","24.9"
"Gary Brightwell","NYG","RB113","23.6","112.9","0.8","5.0","30.3","0.1","0.1","24.8"
"Jalen Nailor","MIN","WR160","0.3","1.6","0.0","9.1","110.5","0.7","0.1","24.1"
"Tyrion Davis-Price","SF","RB114","23.9","127.5","0.7","3.7","31.0","0.1","0.2","24.0"
"Alec Ingold","MIA","RB115","5.7","16.1","0.1","12.0","70.9","0.4","0.0","23.9"
"James Mitchell","DET","TE82","0.0","0.3","0.0","8.8","108.4","0.7","0.0","23.6"
"Tyler Kroft","MIA","TE83","0.0","0.5","0.0","9.3","90.2","0.8","0.0","23.3"
"Malik Heath","GB","WR161","0.1","2.6","0.0","10.5","97.0","0.5","0.0","23.3"
"Will Mallory","IND","TE84","0.0","1.9","0.0","8.7","96.0","0.7","0.0","22.5"
"Velus Jones Jr.","CHI","WR162","1.8","36.1","0.2","6.1","95.9","0.4","0.1","22.3"
"Jack Stoll","PHI","TE85","0.0","0.3","0.0","9.4","99.9","0.4","0.0","22.0"
"Drew Sample","CIN","TE86","0.0","0.4","0.0","9.8","87.7","0.6","0.1","21.9"
"D'Ernest Johnson","JAC","RB116","26.1","109.9","0.4","4.8","31.6","0.1","0.0","21.9"
"Erik Ezukanma","MIA","WR163","0.2","1.3","0.0","8.9","99.0","0.5","0.1","21.6"
"Ty Montgomery II","NE","RB117","9.1","30.6","0.2","8.7","69.2","0.3","0.0","21.5"
"Ben Sims","GB","TE87","0.0","0.0","0.0","11.0","65.1","0.7","0.0","21.4"
"Keith Kirkwood","NO","WR164","0.2","1.1","0.0","9.3","93.4","0.4","0.1","21.0"
"Stephen Sullivan","CAR","TE88","0.0","0.0","0.0","8.7","85.9","0.6","0.0","20.9"
"Ty Johnson","BUF","RB118","9.0","47.4","0.2","8.3","52.9","0.3","0.1","20.9"
"Elijah Higgins","ARI","TE89","0.0","1.3","0.0","7.6","96.6","0.5","0.0","20.4"
"Scott Miller","ATL","WR165","0.3","3.3","0.0","7.8","101.6","0.3","0.0","20.4"
"Jason Huntley","IND","RB119","0.0","78.9","0.5","4.7","42.5","0.2","0.1","20.4"
"Jeremy Ruckert","NYJ","TE90","0.0","0.3","0.0","7.3","95.2","0.6","0.0","20.3"
"Stone Smartt","LAC","TE91","0.0","0.7","0.0","9.1","74.5","0.6","0.0","20.2"
"Phillip Dorsett II","DEN","WR166","0.1","0.7","0.0","8.7","84.0","0.5","0.0","20.1"
"C.J. Ham","MIN","RB120","4.4","13.4","0.3","9.5","59.2","0.2","0.0","19.9"
"Ross Dwelley","SF","TE92","0.0","0.8","0.0","5.9","95.9","0.7","0.0","19.8"
"Mitchell Wilcox","CIN","TE93","0.0","0.0","0.0","8.3","92.6","0.3","0.0","19.5"
"Kene Nwangwu","MIN","RB121","21.9","81.3","0.3","5.1","32.6","0.2","0.1","19.2"
"Nelson Agholor","BAL","WR167","0.2","0.8","0.0","5.4","122.5","0.3","0.2","19.2"
"Marcedes Lewis","CHI","TE94","0.0","0.0","0.0","6.6","68.9","1.0","0.1","19.1"
"A.T. Perry","NO","WR168","0.5","2.3","0.0","5.0","119.8","0.3","0.1","18.8"
"Johnny Mundt","MIN","TE95","0.0","0.4","0.0","7.7","78.6","0.5","0.0","18.6"
"Quintin Morris","BUF","TE96","0.0","0.4","0.0","7.3","85.0","0.6","0.4","18.6"
"Ray-Ray McCloud III","SF","WR169","3.3","29.2","0.2","5.8","66.6","0.3","0.1","18.3"
"Dareke Young","SEA","WR170","0.2","1.0","0.0","7.7","83.2","0.4","0.1","18.2"
"Israel Abanikanda","NYJ","RB122","41.2","107.2","0.4","1.5","30.4","0.0","0.1","17.4"
"Jody Fortson","KC","TE97","0.0","0.6","0.0","6.1","96.4","0.4","0.5","17.2"
"Chris Manhertz","DEN","TE98","0.0","0.3","0.0","6.7","74.9","0.5","0.0","17.2"
"KaVontae Turpin","DAL","WR171","1.8","10.3","0.1","6.5","69.5","0.4","0.0","17.2"
"Hunter Luepke","DAL","RB123","10.5","35.2","0.4","7.4","32.5","0.1","0.0","17.1"
"Reggie Gilliam","BUF","RB124","2.2","7.2","0.1","8.5","48.8","0.4","0.0","17.1"
"Luke Farrell","JAC","TE99","0.0","0.3","0.0","6.5","78.5","0.4","0.0","16.9"
"Armani Rogers","WAS","TE100","0.0","0.0","0.0","7.3","73.9","0.4","0.1","16.9"
"Cole Turner","WAS","TE101","0.0","0.3","0.0","4.8","98.4","0.4","0.1","16.7"
"Andrew Beck","HOU","TE102","0.0","6.5","0.0","7.8","61.7","0.3","0.0","16.7"
"DeWayne McBride","MIN","RB125","35.1","91.6","0.3","2.0","28.9","0.1","0.1","15.9"
"Steven Sims Jr.","HOU","WR172","0.7","30.6","0.2","4.7","59.6","0.2","0.1","15.9"
"Giovanni Ricci","CAR","TE103","4.7","10.2","0.1","5.6","74.1","0.2","0.0","15.8"
"John FitzPatrick","ATL","TE104","0.0","2.1","0.0","6.6","53.3","0.6","0.0","15.8"
"Jesper Horsted","LV","TE105","0.0","0.4","0.0","5.9","67.1","0.5","0.0","15.6"
"Gunner Olszewski","PIT","WR173","3.3","26.4","0.1","4.8","60.2","0.2","0.1","15.3"
"Curtis Hodges","WAS","TE106","0.0","0.6","0.0","6.3","55.5","0.5","0.0","14.8"
"Kaden Smith","WAS","TE107","0.0","0.0","0.0","6.3","57.8","0.5","0.0","14.8"
"Cody Thompson","SEA","WR174","0.0","1.0","0.0","6.3","60.2","0.3","0.0","14.5"
"Patrick Ricard","BAL","RB126","3.7","13.2","0.1","7.3","34.1","0.3","0.1","14.2"
"Antoine Green","DET","WR175","0.1","1.6","0.0","6.0","60.7","0.3","0.0","14.1"
"Keaton Mitchell","BAL","RB127","17.9","67.1","0.4","2.9","19.2","0.1","0.1","14.0"
"Brayden Willis","SF","TE108","0.0","0.1","0.0","5.4","57.9","0.5","0.0","13.9"
"Cam Sims","NYG","WR176","0.1","0.3","0.0","6.8","59.2","0.2","0.0","13.8"
"Charlie Woerner","SF","TE109","0.0","0.8","0.0","5.4","63.1","0.4","0.1","13.8"
"Maurice Alexander","DET","WR177","0.0","0.0","0.0","4.9","65.2","0.4","0.0","13.8"
"Demetric Felton Jr.","CIN","RB128","5.8","29.1","0.1","5.8","32.4","0.1","0.0","13.6"
"Andrew Ogletree","IND","TE110","0.0","0.1","0.0","5.2","57.5","0.4","0.0","13.6"
"Royce Freeman","LAR","RB129","0.0","57.7","0.3","4.2","14.4","0.1","0.1","13.5"
"Snoop Conner","JAC","RB130","3.1","76.3","0.5","2.2","2.9","0.1","0.1","13.4"
"Elijah Dotson","LAC","RB131","11.3","45.5","0.4","4.5","17.6","0.1","0.0","13.4"
"Dax Milne","WAS","WR178","2.7","11.4","0.1","5.1","56.8","0.2","0.3","13.0"
"Jason Cabinda","DET","LB1","9.1","22.4","0.2","4.4","33.3","0.3","0.0","12.7"
"Shane Zylstra","DET","TE111","0.0","0.0","0.0","3.9","66.1","0.3","0.1","12.3"
"Jalen Reagor","NE","WR179","1.3","12.1","0.1","3.8","57.5","0.2","0.1","12.2"
"Zach Gentry","CIN","TE112","0.0","0.3","0.0","5.5","57.4","0.1","0.0","12.2"
"Ronnie Rivers","LAR","RB132","11.4","38.6","0.1","4.4","25.9","0.1","0.1","12.2"
"Pharaoh Brown","NE","TE113","0.0","0.6","0.0","6.2","52.2","0.1","0.0","12.0"
"Kirk Merritt","NO","WR180","9.1","22.6","0.1","3.2","43.6","0.2","0.0","11.9"
"Cole Beasley","NYG","WR181","0.0","0.1","0.0","5.7","49.9","0.2","0.0","11.9"
"Matt Sokol","NE","TE114","0.0","0.9","0.0","4.5","46.9","0.4","0.0","11.6"
"MyCole Pruitt","ATL","TE115","0.0","0.0","0.0","3.2","55.1","0.5","0.0","11.6"
"Josh Ali","ATL","WR182","0.1","2.6","0.0","4.9","50.1","0.2","0.0","11.6"
"Grant Calcaterra","PHI","TE116","0.0","0.3","0.0","3.2","65.3","0.3","0.1","11.4"
"Ihmir Smith-Marsette","CAR","WR183","0.2","1.3","0.0","4.3","58.0","0.2","0.1","11.3"
"Tyler Scott","CHI","WR184","0.8","2.7","0.0","0.3","103.5","0.0","0.1","10.9"
"Tommy Sweeney","NYG","TE117","0.0","0.0","0.0","3.7","56.6","0.3","0.1","10.7"
"Tim Jones","JAC","WR185","0.1","1.0","0.0","3.9","52.2","0.2","0.1","10.4"
"Godwin Igwebuike","ATL","RB133","0.0","3.9","0.1","6.6","23.7","0.1","0.0","10.3"
"Matthew Slater","NE","WR186","0.0","1.5","0.0","2.8","59.7","0.2","0.0","10.3"
"Tyler Davis","GB","TE118","0.0","0.1","0.0","4.1","40.0","0.4","0.0","10.2"
"Dezmon Patmon","CAR","WR187","0.0","0.0","0.0","3.7","44.0","0.3","0.0","10.0"
"Easop Winston Jr.","SEA","WR188","0.0","3.9","0.0","3.3","48.8","0.3","0.0","10.0"
"Patrick Taylor Jr.","GB","RB134","3.1","42.4","0.3","2.1","7.6","0.1","0.0","9.3"
"Adam Prentice","NO","RB135","2.4","13.6","0.1","4.3","17.8","0.1","0.0","8.8"
"Nick Vannett","LAC","TE119","0.0","0.6","0.0","2.3","42.0","0.4","0.0","8.8"
"Miles Boykin","PIT","WR189","0.0","0.2","0.0","3.2","46.4","0.1","0.0","8.8"
"Bo Melton","GB","WR190","0.1","1.7","0.0","3.7","39.7","0.1","0.0","8.7"
"Henry Pearson","GB","RB136","0.0","13.1","0.1","3.7","16.4","0.2","0.0","8.6"
"Montrell Washington","KC","WR191","0.2","9.6","0.0","2.5","43.8","0.1","0.0","8.4"
"Keelan Cole Sr.","LV","WR192","0.0","0.0","0.0","3.3","38.8","0.2","0.0","8.2"
"Jakob Johnson","LV","RB137","3.8","10.0","0.1","4.6","15.1","0.1","0.0","8.1"
"Michael Woods II","CLE","WR193","0.0","0.0","0.0","3.1","38.4","0.2","0.0","8.0"
"Michael Burton","DEN","RB138","4.7","14.7","0.1","3.6","14.0","0.1","0.0","7.8"
"Jack Colletto","SF","RB139","0.0","7.3","0.1","3.6","16.3","0.2","0.0","7.5"
"Feleipe Franks","ATL","QB1","0.0","0.0","0.0","3.1","28.9","0.2","0.0","7.3"
"Danny Gray","SF","WR194","0.4","1.7","0.0","1.5","50.4","0.1","0.1","7.0"
"Andrei Iosivas","CIN","WR195","0.5","1.8","0.0","0.6","62.0","0.0","0.1","6.9"
"Parker Hesse","ATL","TE120","0.0","0.6","0.0","2.9","27.8","0.2","0.0","6.9"
"Chris Brooks","MIA","RB140","12.0","33.8","0.1","1.6","11.5","0.0","0.1","6.8"
"Greg Ward","PHI","WR196","0.0","0.2","0.0","2.5","30.2","0.2","0.0","6.4"
"Seth Williams","JAC","WR197","0.0","1.4","0.0","2.2","27.8","0.2","0.0","6.2"
"Andy Isabella","BUF","WR198","0.1","6.8","0.1","1.3","32.7","0.1","0.0","5.9"
"Tylan Wallace","BAL","WR199","0.3","1.0","0.0","1.7","37.8","0.1","0.1","5.9"
"Lance McCutcheon","HOU","WR200","0.0","0.5","0.0","2.2","28.5","0.1","0.0","5.7"
"Stanley Morgan Jr.","CIN","WR201","0.0","1.9","0.0","1.6","31.9","0.1","0.0","5.5"
"Nick Bellore","SEA","LB2","4.4","9.3","0.0","2.3","15.7","0.1","0.0","5.3"
"Khari Blasingame","CHI","RB141","2.8","9.0","0.1","2.6","8.2","0.1","0.0","5.3"
"Keith Smith","ATL","RB142","2.7","8.3","0.1","2.7","7.6","0.1","0.0","5.2"
"Joseph Ngata","PHI","WR202","0.0","1.4","0.0","1.9","23.7","0.1","0.0","5.2"
"Tyree Jackson","NYG","TE121","0.0","0.6","0.0","1.2","20.1","0.3","0.0","4.8"
"Trent Taylor","CHI","WR203","0.3","4.1","0.0","1.3","25.4","0.1","0.0","4.6"
"Colton Dowell","TEN","WR204","0.1","1.0","0.0","1.5","26.2","0.1","0.0","4.5"
"Sean McKeon","DAL","TE122","0.0","0.6","0.0","1.1","13.0","0.3","0.0","4.1"
"Zander Horvath","PIT","RB143","0.0","1.5","0.0","2.9","4.6","0.1","0.0","4.1"
"Kevin Rader","TEN","TE123","0.0","0.6","0.0","0.8","16.2","0.3","0.0","4.0"
"Nick Bawden","NYJ","RB144","0.0","1.1","0.0","2.9","4.6","0.1","0.0","4.0"
"Racey McMath","IND","WR205","0.2","1.3","0.0","0.7","21.5","0.0","0.0","3.2"
"Jaelon Darden","CLE","WR206","0.0","2.6","0.0","0.6","19.6","0.1","0.0","3.1"
"Lil'Jordan Humphrey","DEN","WR207","0.0","0.0","0.0","0.3","22.1","0.0","0.0","2.6"
"Laquon Treadwell","BAL","WR208","0.0","0.1","0.0","0.3","21.8","0.0","0.0","2.6"
"Tyler Mabry","SEA","TE124","0.0","0.2","0.0","0.8","7.8","0.1","0.0","2.1"
"Jake Funk","IND","RB145","0.0","3.4","0.0","0.3","3.6","0.0","0.0","1.3"
"Ben Mason","BAL","RB146","0.0","0.0","0.0","0.3","2.0","0.0","0.0","0.4"
"D.J. Montgomery","IND","WR209","0.2","1.5","0.0","0.0","33.7","0.0","0.0","0.0"
"Jamison Crowder","WAS","WR210","0.1","1.2","0.0","0.0","149.7","0.0","0.1","0.0"
"Chris Conley","SF","WR211","0.0","0.1","0.0","0.0","37.2","0.0","0.0","0.0"
"Kenny Yeboah","NYJ","TE125","0.0","0.0","0.0","0.0","35.0","0.3","0.0","0.0"
"Andre Baccellia","ARI","WR212","0.2","1.5","0.0","0.0","33.7","0.0","0.0","0.0"
"Blake Whiteheart","ARI","TE126","0.0","0.0","0.0","0.0","24.2","0.3","0.0","0.0"
"Jalen Guyton","LAC","WR213","0.7","2.8","0.0","0.0","86.4","0.0","0.0","0.0"
"Elijah Cooks","JAC","WR214","0.1","0.9","0.0","0.0","34.9","0.0","0.0","0.0"
"Irvin Charles","NYJ","WR215","0.1","0.9","0.0","0.0","34.9","0.0","0.0","0.0"
"Nick Muse","MIN","TE127","0.0","0.0","0.0","0.0","24.2","0.3","0.0","0.0"
"N'Keal Harry","MIN","WR216","0.4","2.9","0.0","0.0","43.5","0.0","0.1","0.0"
"David Moore","TB","WR217","0.5","3.9","0.0","0.0","41.9","0.0","0.1","0.0"
"Deneric Prince","KC","RB147","23.7","73.9","0.0","0.0","27.4","0.0","0.1","0.0"
"Austin Watkins Jr.","CLE","WR218","0.1","0.9","0.0","0.0","34.9","0.0","0.0","0.0"
"Xavier Hutchinson","HOU","WR219","1.0","5.9","0.0","0.0","238.3","0.0","0.2","0.0"
"Zack Kuntz","NYJ","TE128","0.0","0.0","0.0","0.0","91.0","0.3","0.1","0.0"
"Mike Strachan","IND","WR220","0.2","1.5","0.0","0.0","33.7","0.0","0.0","0.0"
"Robbie Chosen","MIA","WR221","0.5","3.2","0.0","0.0","166.2","0.1","0.1","0.0"
"Juwann Winfree","IND","WR222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate Adkins","DEN","TE129","0.0","0.0","0.0","0.0","79.8","0.3","0.1","0.0"
"Kearis Jackson","TEN","WR223","0.1","0.9","0.0","0.0","34.9","0.0","0.0","0.0"
"Kristian Wilkerson","LV","WR224","0.2","1.5","0.0","0.0","33.7","0.0","0.0","0.0"
"Tony Jones Jr.","NO","RB148","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Justin Shorter","BUF","WR225","0.4","2.4","0.0","0.0","93.7","0.0","0.1","0.0"
"Mitchell Tinsley","WAS","WR226","0.1","0.9","0.0","0.0","34.9","0.0","0.0","0.0"
"Darrell Daniels","DET","TE130","0.0","0.0","0.0","0.0","24.2","0.3","0.0","0.0"
"La'Mical Perine","KC","RB149","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quintez Cephus","DET","WR227","0.0","0.0","0.0","0.0","31.1","0.0","0.0","0.0"
"Gerrit Prince","KC","TE131","0.0","0.0","0.0","0.0","24.2","0.3","0.0","0.0"
"Darrynton Evans","MIA","RB150","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","DAL","WR228","0.2","1.5","0.0","0.0","58.4","0.0","0.0","0.0"
"Alex Erickson","LAC","WR229","0.5","2.5","0.0","0.0","34.2","0.0","0.2","0.0"
"Malik Davis","DAL","RB151","32.4","105.7","0.0","0.0","36.7","0.0","0.2","0.0"
"Austin Allen","GB","TE132","0.0","0.0","0.0","0.0","24.2","0.3","0.0","0.0"
"Jake Bobo","SEA","WR230","0.2","1.2","0.0","0.0","46.6","0.0","0.0","0.0"
"Tanner Taula","TB","TE133","0.0","0.0","0.0","0.0","24.2","0.3","0.0","0.0"
"Tanner Conner","MIA","WR231","0.1","0.9","0.0","0.0","34.9","0.0","0.0","0.0"
"David Sills V","DEN","WR232","0.2","1.5","0.0","0.0","33.7","0.0","0.0","0.0"
"Julian Hill","MIA","TE134","0.0","0.0","0.0","0.0","102.8","0.3","0.1","0.0"
"Xavier Gipson","NYJ","WR233","0.1","0.9","0.0","0.0","34.9","0.0","0.0","0.0"
""
""